ID,Item Code,Quantity_Sold_(kilo),Unit Selling Price (RMB/kg),Item Name_x,Category Code,Category Name,Wholesale Price (RMB/kg),Item Name_y,Loss Rate (%),Weekday
151,102900005115984,12.594,6.0,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables,3.75,Yunnan Lettuces,12.81,Sunday
199,102900005118831,10.0,6.87,Wawacai,1011010101,Flower/Leaf Vegetables,4.06,Wawacai,2.48,Monday
200,102900005119944,1.202,17.0,Haixian Mushroom (1),1011010801,Edible Mushroom,10.09,Haixian Mushroom (1),9.89,Monday
201,102900005119975,15.903,6.0,Hongshujian,1011010101,Flower/Leaf Vegetables,3.6,Hongshujian,8.42,Monday
202,102900005123880,1.127,12.0,Bell Pepper (1),1011010504,Capsicum,7.38,Bell Pepper (1),16.33,Monday
203,102900005125808,3.064,25.8,Millet Pepper,1011010504,Capsicum,11.68,Millet Pepper,5.86,Monday
204,102900005125815,9.012,10.0,Apricot Bao Mushroom (1),1011010801,Edible Mushroom,6.14,Apricot Bao Mushroom (1),5.05,Monday
205,102900011000328,10.36,14.0,Luosi Pepper,1011010504,Capsicum,8.16,Luosi Pepper,10.18,Monday
209,102900011008522,40.201,7.617647058823529,Sweet Chinese Cabbage,1010101,Flower/Leaf Vegetables,4.44,Sweet Chinese Cabbage,9.43,Monday
207,102900011001813,4.0,-3.475,Needle Mushroom (Bag) (1),1011010801,Edible Mushroom,1.64,Needle Mushroom (Bag) (1),8.85,Monday
208,102900011006948,5.682,-15.973333333333333,Foreign Garland Chrysanthemum ,1011010101,Flower/Leaf Vegetables,9.17,Foreign Garland Chrysanthemum ,26.16,Monday
210,102900011009444,5.333,12.0,Dalong Eggplant,1011010501,Solanum,5.27,Dalong Eggplant,10.94,Monday
211,102900011009970,18.287,9.0,Qinggengsanhua,1011010201,Cabbage,5.6,Qinggengsanhua,17.06,Monday
212,102900051004294,5.11,12.0,Green Line Pepper,1011010504,Capsicum,6.42,Green Line Pepper,7.8,Monday
213,102900051010455,8.631,9.0,Huangbaicai (2),1011010101,Flower/Leaf Vegetables,5.31,Huangbaicai (2),15.61,Monday
198,102900005118824,3.089,9.972727272727273,High Melon (1),1011010402,Aquatic Tuberous Vegetables,5.45,High Melon (1),29.25,Monday
206,102900011001219,1.234,18.0,The Red Bell Pepper (1),1011010504,Capsicum,8.05,The Red Bell Pepper (1),8.93,Monday
197,102900005117209,1.273,14.0,7 Colour Pepper (1),1011010504,Capsicum,8.44,7 Colour Pepper (1),15.98,Monday
196,102900005117056,26.296,7.6,Paopaojiao (Jingpin),1011010504,Capsicum,4.98,Paopaojiao (Jingpin),7.08,Monday
178,102900005115762,5.854,6.0,Amaranth,1011010101,Flower/Leaf Vegetables,3.35,Amaranth,18.52,Monday
195,102900005116943,2.014,16.0,Red Hang Pepper,1011010504,Capsicum,5.82,Red Hang Pepper,9.99,Monday
179,102900005115779,36.532,8.0,Yunnan Shengcai,1011010101,Flower/Leaf Vegetables,,Yunnan Shengcai,15.25,Monday
180,102900005115786,14.131,6.0,Zhuyecai,1011010101,Flower/Leaf Vegetables,3.18,Zhuyecai,13.62,Monday
181,102900005115793,6.496,16.0,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,9.23,Chinese Cabbage,7.59,Monday
182,102900005115823,13.458,10.0,Shanghaiqing,1011010101,Flower/Leaf Vegetables,6.25,Shanghaiqing,14.43,Monday
184,102900005115946,3.539,7.0,Muercai,1011010101,Flower/Leaf Vegetables,4.21,Muercai,7.61,Monday
185,102900005115960,14.098,4.0,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,2.2,Chinese Cabbage,22.27,Monday
186,102900005115984,11.053,6.0,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables,3.65,Yunnan Lettuces,12.81,Monday
183,102900005115908,10.162,8.0,Caixin,1011010101,Flower/Leaf Vegetables,4.55,Caixin,13.7,Monday
188,102900005116233,4.308,10.0,Red Pepper (1),1011010504,Capsicum,5.41,Red Pepper (1),11.76,Monday
189,102900005116257,8.96,8.0,Eggplant (2),1011010501,Solanum,4.49,Eggplant (2),6.07,Monday
190,102900005116509,16.434,4.0,Green Eggplant (1),1011010501,Solanum,2.05,Green Eggplant (1),5.01,Monday
191,102900005116530,13.35,19.8,Xixia Mushroom (1),1011010801,Edible Mushroom,12.0,Xixia Mushroom (1),13.82,Monday
192,102900005116547,11.911,7.0,Needle Mushroom (1),1011010801,Edible Mushroom,4.06,Needle Mushroom (1),3.43,Monday
193,102900005116714,24.434,13.984615384615385,Broccoli,1010201,Cabbage,9.48,Broccoli,9.26,Monday
194,102900005116912,1.103,14.0,Jigu Mushroom (1),1011010801,Edible Mushroom,7.89,Jigu Mushroom (1),8.99,Monday
187,102900005116226,3.896,-8.0,Green Hot Peppers,1010504,Capsicum,4.41,Green Hot Peppers,6.72,Monday
241,102900005125815,13.453,9.983720930232558,Apricot Bao Mushroom (1),1011010801,Edible Mushroom,6.13,Apricot Bao Mushroom (1),5.05,Tuesday
