ID,Item Code,Unit Selling Price (RMB/kg),Item Name_x,Category Code,Category Name,Wholesale Price (RMB/kg),Item Name_y,Loss Rate (%),Weekday
32640,102900011031582,3.9,Green Hot Peppers (Bag),1011010504,Capsicum,2.51,Green Hot Peppers (Bag),9.43,Sunday
32641,102900011032022,-2.7,Xiaozhoupi (Bag),1011010504,Capsicum,,Xiaozhoupi (Bag),9.43,Sunday
32620,102900005115762,3.2,Amaranth,1011010101,Flower/Leaf Vegetables,1.86,Amaranth,18.52,Sunday
32621,102900005115823,7.0,Shanghaiqing,1011010101,Flower/Leaf Vegetables,4.0,Shanghaiqing,14.43,Sunday
32622,102900005115984,6.6,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables,4.2,Yunnan Lettuces,12.81,Sunday
32623,102900005116257,-7.0,Eggplant (2),1011010501,Solanum,4.84,Eggplant (2),6.07,Sunday
32625,102900005116530,23.6,Xixia Mushroom (1),1010801,Edible Mushroom,15.0,Xixia Mushroom (1),13.82,Sunday
32626,102900005116714,9.18952380952381,Broccoli,1011010201,Cabbage,5.16,Broccoli,9.26,Sunday
32627,102900005116899,-9.2,Net Lotus Root (1),1010402,Aquatic Tuberous Vegetables,5.99,Net Lotus Root (1),5.54,Sunday
32628,102900005118817,12.0,Spinach,1011010101,Flower/Leaf Vegetables,7.51,Spinach,18.51,Sunday
32624,102900005116509,6.0,Green Eggplant (1),1011010501,Solanum,3.93,Green Eggplant (1),5.01,Sunday
32630,102900011000328,9.2,Luosi Pepper,1011010504,Capsicum,5.6,Luosi Pepper,10.18,Sunday
32631,102900011001561,-2.0,Lotus (Ea),1011010402,Aquatic Tuberous Vegetables,1.33,Lotus (Ea),12.17,Sunday
32632,102900011001691,10.0,Water Chestnut (Lingjiao),1011010402,Aquatic Tuberous Vegetables,6.15,Water Chestnut (Lingjiao),9.61,Sunday
32633,102900011016701,-6.0,Wuhu Green Pepper (1),1011010504,Capsicum,3.73,Wuhu Green Pepper (1),5.7,Sunday
32634,102900011030059,3.9,Yunnan Lettuce (Bag),1011010101,Flower/Leaf Vegetables,2.04,Yunnan Lettuce (Bag),9.43,Sunday
32635,102900011030097,3.3782608695652177,Yunnan Leaf Lettuce (Bag),1011010101,Flower/Leaf Vegetables,2.04,Yunnan Leaf Lettuce (Bag),9.43,Sunday
32636,102900011030134,3.9,Caixin (Bag),1011010101,Flower/Leaf Vegetables,2.11,Caixin (Bag),9.43,Sunday
32637,102900011030912,5.900000000000001,Haixian Mushroom (Bag),1011010801,Edible Mushroom,2.8,Haixian Mushroom (Bag),9.43,Sunday
32629,102900005118824,18.0,High Melon (1),1011010402,Aquatic Tuberous Vegetables,15.22,High Melon (1),29.25,Sunday
32638,102900011030929,2.1666666666666665,Fresh Edible Fungus (Bag),1011010801,Edible Mushroom,1.47,Fresh Edible Fungus (Bag),9.43,Sunday
32695,102900011032848,2.3,Ginger And Xiaomijiao Mix (Small Bag),1010504,Capsicum,1.11,Ginger And Xiaomijiao Mix (Small Bag),9.43,Monday
32694,102900011032787,1.7857142857142858,Zhuyecai (Bag),1011010101,Flower/Leaf Vegetables,1.11,Zhuyecai (Bag),9.43,Monday
32693,102900011032343,25.8,7 Colour Pepper (2),1011010504,Capsicum,10.72,7 Colour Pepper (2),9.43,Monday
32692,102900011032251,4.7,Luosi Pepper (Bag),1011010504,Capsicum,2.14,Luosi Pepper (Bag),9.43,Monday
32688,102900011032206,2.9,Green Hang Pepper (Bag),1011010504,Capsicum,1.03,Green Hang Pepper (Bag),9.43,Monday
32690,102900011032237,3.5,Green Line Pepper (Bag),1011010504,Capsicum,,Green Line Pepper (Bag),9.43,Monday
32689,102900011032220,7.366666666666667,Fruit Pepper (Bag),1011010504,Capsicum,3.86,Fruit Pepper (Bag),9.43,Monday
32696,102900011033234,1.9,Hongshujian (Bag),1010101,Flower/Leaf Vegetables,0.75,Hongshujian (Bag),9.43,Monday
32691,102900011032244,-4.9,Red Hot Peppers (Bag),1010504,Capsicum,3.62,Red Hot Peppers (Bag),9.43,Monday
32697,102900011033906,3.0,Powcan Mountain Chinese Cabbage ,1011010101,Flower/Leaf Vegetables,1.54,Powcan Mountain Chinese Cabbage ,9.43,Monday
32707,102900051000944,29.6,Honghu Lotus Root,1011010402,Aquatic Tuberous Vegetables,17.0,Honghu Lotus Root,24.05,Monday
32699,102900011033937,10.800000000000002,Needle Mushroom (2),1011010801,Edible Mushroom,,Needle Mushroom (2),9.43,Monday
32700,102900011033944,9.469565217391304,Apricot Bao Mushroom (2),1011010801,Edible Mushroom,6.47,Apricot Bao Mushroom (2),9.43,Monday
32701,102900011034026,10.0,Zhijiang Qinggengsanhua,1011010201,Cabbage,5.0,Zhijiang Qinggengsanhua,9.43,Monday
32702,102900011034217,7.7,Chinese Cabbage (Bag),1011010101,Flower/Leaf Vegetables,5.69,Chinese Cabbage (Bag),9.43,Monday
32703,102900011034224,2.626086956521739,Xiaoqingcai (Bag),1011010101,Flower/Leaf Vegetables,2.2,Xiaoqingcai (Bag),9.43,Monday
32704,102900011034231,3.592307692307692,Cabbage Stem (Bag),1011010101,Flower/Leaf Vegetables,2.95,Cabbage Stem (Bag),9.43,Monday
32705,102900011034330,4.9,Agaricus Bisporus (Box),1011010801,Edible Mushroom,2.36,Agaricus Bisporus (Box),0.2,Monday
32706,102900011034439,-3.9,Green And Red Hang Pepper Mix (Bag),1011010504,Capsicum,2.47,Green And Red Hang Pepper Mix (Bag),9.43,Monday
32708,102900051010455,6.0,Huangbaicai (2),1011010101,Flower/Leaf Vegetables,3.36,Huangbaicai (2),15.61,Monday
32698,102900011033920,9.2,Huangxincai (2),1011010101,Flower/Leaf Vegetables,4.27,Huangxincai (2),9.43,Monday
32686,102900011031995,3.3666666666666667,Jigu (Bag),1011010801,Edible Mushroom,1.99,Jigu (Bag),9.43,Monday
32687,102900011032022,2.5727272727272723,Xiaozhoupi (Bag),1011010504,Capsicum,0.96,Xiaozhoupi (Bag),9.43,Monday
32684,102900011031100,4.735714285714286,Millet Pepper (Bag),1011010504,Capsicum,1.16,Millet Pepper (Bag),9.43,Monday
32663,102900005115762,3.2,Amaranth,1011010101,Flower/Leaf Vegetables,2.04,Amaranth,18.52,Monday
32664,102900005115946,6.0,Muercai,1011010101,Flower/Leaf Vegetables,1.94,Muercai,7.61,Monday
32665,102900005116257,6.970967741935484,Eggplant (2),1011010501,Solanum,4.87,Eggplant (2),6.07,Monday
32666,102900005116509,6.0,Green Eggplant (1),1011010501,Solanum,4.26,Green Eggplant (1),5.01,Monday
32667,102900005116530,23.6,Xixia Mushroom (1),1011010801,Edible Mushroom,15.0,Xixia Mushroom (1),13.82,Monday
32668,102900005116714,7.977099236641221,Broccoli,1011010201,Cabbage,5.16,Broccoli,9.26,Monday
32669,102900005116899,9.155102040816326,Net Lotus Root (1),1011010402,Aquatic Tuberous Vegetables,5.99,Net Lotus Root (1),5.54,Monday
32670,102900005118824,18.0,High Melon (1),1011010402,Aquatic Tuberous Vegetables,15.72,High Melon (1),29.25,Monday
32671,102900011000328,9.2,Luosi Pepper,1011010504,Capsicum,5.44,Luosi Pepper,10.18,Monday
32672,102900011001561,2.0,Lotus (Ea),1011010402,Aquatic Tuberous Vegetables,1.33,Lotus (Ea),12.17,Monday
32685,102900011031582,-3.34,Green Hot Peppers (Bag),1011010504,Capsicum,1.48,Green Hot Peppers (Bag),9.43,Monday
32674,102900011007044,4.9,Tremella (Flower),1011010801,Edible Mushroom,3.08,Tremella (Flower),9.14,Monday
32675,102900011016701,4.983216783216784,Wuhu Green Pepper (1),1011010504,Capsicum,3.4,Wuhu Green Pepper (1),5.7,Monday
32676,102900011022764,10.0,Changxianqie,1011010501,Solanum,6.78,Changxianqie,6.9,Monday
32677,102900011030059,3.861818181818182,Yunnan Lettuce (Bag),1011010101,Flower/Leaf Vegetables,1.89,Yunnan Lettuce (Bag),9.43,Monday
32678,102900011030097,-3.3205882352941174,Yunnan Leaf Lettuce (Bag),1011010101,Flower/Leaf Vegetables,2.11,Yunnan Leaf Lettuce (Bag),9.43,Monday
32679,102900011030110,4.326666666666667,Spinach (Bag),1011010101,Flower/Leaf Vegetables,,Spinach (Bag),9.43,Monday
32680,102900011030134,3.633333333333333,Caixin (Bag),1010101,Flower/Leaf Vegetables,1.97,Caixin (Bag),9.43,Monday
32681,102900011030141,2.636842105263157,Shanghai Green (Bag),1011010101,Flower/Leaf Vegetables,1.1,Shanghai Green (Bag),9.43,Monday
32682,102900011030912,5.9,Haixian Mushroom (Bag),1011010801,Edible Mushroom,2.71,Haixian Mushroom (Bag),9.43,Monday
32683,102900011030929,2.5,Fresh Edible Fungus (Bag),1011010801,Edible Mushroom,1.48,Fresh Edible Fungus (Bag),9.43,Monday
32673,102900011001691,10.0,Water Chestnut (Lingjiao),1011010402,Aquatic Tuberous Vegetables,6.16,Water Chestnut (Lingjiao),9.61,Monday
32742,102900011032787,1.681818181818182,Zhuyecai (Bag),1011010101,Flower/Leaf Vegetables,1.01,Zhuyecai (Bag),9.43,Tuesday
32741,102900011032367,19.8,Red Bell Pepper (2),1011010504,Capsicum,,Red Bell Pepper (2),9.43,Tuesday
32740,102900011032343,-20.6,7 Colour Pepper (2),1011010504,Capsicum,10.34,7 Colour Pepper (2),9.43,Tuesday
32735,102900011032213,4.9,Red Hang Pepper (Bag),1011010504,Capsicum,3.04,Red Hang Pepper (Bag),9.43,Tuesday
32738,102900011032244,4.9,Red Hot Peppers (Bag),1011010504,Capsicum,4.26,Red Hot Peppers (Bag),9.43,Tuesday
32737,102900011032237,3.7545454545454544,Green Line Pepper (Bag),1011010504,Capsicum,1.44,Green Line Pepper (Bag),9.43,Tuesday
32736,102900011032220,7.9,Fruit Pepper (Bag),1011010504,Capsicum,3.92,Fruit Pepper (Bag),9.43,Tuesday
32743,102900011032848,3.9,Ginger And Xiaomijiao Mix (Small Bag),1011010504,Capsicum,1.11,Ginger And Xiaomijiao Mix (Small Bag),9.43,Tuesday
32739,102900011032251,4.94,Luosi Pepper (Bag),1011010504,Capsicum,2.02,Luosi Pepper (Bag),9.43,Tuesday
32744,102900011033234,1.85,Hongshujian (Bag),1011010101,Flower/Leaf Vegetables,0.73,Hongshujian (Bag),9.43,Tuesday
32750,102900011034224,2.9,Xiaoqingcai (Bag),1011010101,Flower/Leaf Vegetables,2.2,Xiaoqingcai (Bag),9.43,Tuesday
32746,102900011033920,8.689655172413792,Huangxincai (2),1011010101,Flower/Leaf Vegetables,4.42,Huangxincai (2),9.43,Tuesday
32747,102900011033937,8.989473684210527,Needle Mushroom (2),1011010801,Edible Mushroom,7.38,Needle Mushroom (2),9.43,Tuesday
32748,102900011034026,-9.855072463768115,Zhijiang Qinggengsanhua,1011010201,Cabbage,5.11,Zhijiang Qinggengsanhua,9.43,Tuesday
32749,102900011034217,6.74,Chinese Cabbage (Bag),1011010101,Flower/Leaf Vegetables,6.07,Chinese Cabbage (Bag),9.43,Tuesday
32751,102900011034231,3.5,Cabbage Stem (Bag),1011010101,Flower/Leaf Vegetables,3.19,Cabbage Stem (Bag),9.43,Tuesday
32752,102900011034439,3.9,Green And Red Hang Pepper Mix (Bag),1010504,Capsicum,,Green And Red Hang Pepper Mix (Bag),9.43,Tuesday
32753,102900051000944,29.6,Honghu Lotus Root,1011010402,Aquatic Tuberous Vegetables,17.0,Honghu Lotus Root,24.05,Tuesday
32754,102900051010455,6.0,Huangbaicai (2),1011010101,Flower/Leaf Vegetables,3.39,Huangbaicai (2),15.61,Tuesday
32755,106949711300259,2.5,Needle Mushroom (Box),1011010801,Edible Mushroom,2.07,Needle Mushroom (Box),0.45,Tuesday
32734,102900011032206,-2.9,Green Hang Pepper (Bag),1010504,Capsicum,0.96,Green Hang Pepper (Bag),9.43,Tuesday
32745,102900011033906,3.0,Powcan Mountain Chinese Cabbage ,1010101,Flower/Leaf Vegetables,1.54,Powcan Mountain Chinese Cabbage ,9.43,Tuesday
32756,106971533455008,2.9,Haixian Mushroom (Bag) (3),1011010801,Edible Mushroom,1.98,Haixian Mushroom (Bag) (3),1.3,Tuesday
32733,102900011032022,2.7,Xiaozhoupi (Bag),1011010504,Capsicum,1.05,Xiaozhoupi (Bag),9.43,Tuesday
32731,102900011031582,3.7545454545454544,Green Hot Peppers (Bag),1011010504,Capsicum,,Green Hot Peppers (Bag),9.43,Tuesday
32732,102900011031995,2.3,Jigu (Bag),1011010801,Edible Mushroom,2.03,Jigu (Bag),9.43,Tuesday
32709,102900005115762,3.2,Amaranth,1010101,Flower/Leaf Vegetables,2.53,Amaranth,18.52,Tuesday
32710,102900005115946,6.0,Muercai,1011010101,Flower/Leaf Vegetables,2.74,Muercai,7.61,Tuesday
32711,102900005116257,7.0,Eggplant (2),1011010501,Solanum,4.34,Eggplant (2),6.07,Tuesday
32712,102900005116509,6.0,Green Eggplant (1),1010501,Solanum,4.22,Green Eggplant (1),5.01,Tuesday
32713,102900005116530,23.6,Xixia Mushroom (1),1011010801,Edible Mushroom,15.0,Xixia Mushroom (1),13.82,Tuesday
32715,102900005116899,9.2,Net Lotus Root (1),1011010402,Aquatic Tuberous Vegetables,5.8,Net Lotus Root (1),5.54,Tuesday
32716,102900005118824,18.0,High Melon (1),1011010402,Aquatic Tuberous Vegetables,16.29,High Melon (1),29.25,Tuesday
32717,102900011000328,8.0,Luosi Pepper,1011010504,Capsicum,5.2,Luosi Pepper,10.18,Tuesday
32718,102900011001691,10.0,Water Chestnut (Lingjiao),1010402,Aquatic Tuberous Vegetables,6.19,Water Chestnut (Lingjiao),9.61,Tuesday
32719,102900011001806,2.9,Jigu Mushroom (Bunch),1011010801,Edible Mushroom,3.58,Jigu Mushroom (Bunch),12.42,Tuesday
32714,102900005116714,8.0,Broccoli,1011010201,Cabbage,4.47,Broccoli,9.26,Tuesday
32721,102900011013274,5.42,The White Mushroom (Bag),1011010801,Edible Mushroom,4.1,The White Mushroom (Bag),6.57,Tuesday
32720,102900011008522,8.0,Sweet Chinese Cabbage,1011010101,Flower/Leaf Vegetables,5.46,Sweet Chinese Cabbage,9.43,Tuesday
32729,102900011030929,2.0,Fresh Edible Fungus (Bag),1011010801,Edible Mushroom,1.49,Fresh Edible Fungus (Bag),9.43,Tuesday
32728,102900011030912,5.1000000000000005,Haixian Mushroom (Bag),1010801,Edible Mushroom,2.72,Haixian Mushroom (Bag),9.43,Tuesday
32727,102900011030141,2.881818181818182,Shanghai Green (Bag),1011010101,Flower/Leaf Vegetables,1.1,Shanghai Green (Bag),9.43,Tuesday
32726,102900011030134,3.7545454545454544,Caixin (Bag),1011010101,Flower/Leaf Vegetables,2.03,Caixin (Bag),9.43,Tuesday
32730,102900011031100,4.633333333333334,Millet Pepper (Bag),1011010504,Capsicum,1.16,Millet Pepper (Bag),9.43,Tuesday
32724,102900011030097,3.455555555555556,Yunnan Leaf Lettuce (Bag),1011010101,Flower/Leaf Vegetables,1.89,Yunnan Leaf Lettuce (Bag),9.43,Tuesday
32723,102900011030059,3.4925925925925925,Yunnan Lettuce (Bag),1011010101,Flower/Leaf Vegetables,1.9,Yunnan Lettuce (Bag),9.43,Tuesday
32722,102900011016701,5.0,Wuhu Green Pepper (1),1011010504,Capsicum,4.26,Wuhu Green Pepper (1),5.7,Tuesday
32725,102900011030110,4.718181818181819,Spinach (Bag),1011010101,Flower/Leaf Vegetables,2.22,Spinach (Bag),9.43,Tuesday
32793,102900011033234,1.8428571428571427,Hongshujian (Bag),1011010101,Flower/Leaf Vegetables,0.71,Hongshujian (Bag),9.43,Wednesday
32783,102900011031995,3.2142857142857144,Jigu (Bag),1011010801,Edible Mushroom,2.1,Jigu (Bag),9.43,Wednesday
32784,102900011032022,2.78,Xiaozhoupi (Bag),1011010504,Capsicum,1.14,Xiaozhoupi (Bag),9.43,Wednesday
32786,102900011032213,4.9,Red Hang Pepper (Bag),1011010504,Capsicum,3.03,Red Hang Pepper (Bag),9.43,Wednesday
32787,102900011032237,2.94,Green Line Pepper (Bag),1011010504,Capsicum,1.44,Green Line Pepper (Bag),9.43,Wednesday
32788,102900011032251,5.042857142857144,Luosi Pepper (Bag),1011010504,Capsicum,1.83,Luosi Pepper (Bag),9.43,Wednesday
32789,102900011032343,25.8,7 Colour Pepper (2),1011010504,Capsicum,9.42,7 Colour Pepper (2),9.43,Wednesday
32790,102900011032367,19.8,Red Bell Pepper (2),1011010504,Capsicum,11.34,Red Bell Pepper (2),9.43,Wednesday
32791,102900011032787,1.848387096774193,Zhuyecai (Bag),1011010101,Flower/Leaf Vegetables,0.92,Zhuyecai (Bag),9.43,Wednesday
32792,102900011032848,3.5,Ginger And Xiaomijiao Mix (Small Bag),1011010504,Capsicum,1.11,Ginger And Xiaomijiao Mix (Small Bag),9.43,Wednesday
32794,102900011033906,3.0,Powcan Mountain Chinese Cabbage ,1011010101,Flower/Leaf Vegetables,1.62,Powcan Mountain Chinese Cabbage ,9.43,Wednesday
32782,102900011031582,3.9,Green Hot Peppers (Bag),1011010504,Capsicum,1.75,Green Hot Peppers (Bag),9.43,Wednesday
32796,102900011033937,9.94,Needle Mushroom (2),1011010801,Edible Mushroom,7.32,Needle Mushroom (2),9.43,Wednesday
32797,102900011033944,10.0,Apricot Bao Mushroom (2),1011010801,Edible Mushroom,6.49,Apricot Bao Mushroom (2),9.43,Wednesday
32798,102900011034026,9.285714285714286,Zhijiang Qinggengsanhua,1011010201,Cabbage,5.4,Zhijiang Qinggengsanhua,9.43,Wednesday
32799,102900011034217,7.399999999999999,Chinese Cabbage (Bag),1011010101,Flower/Leaf Vegetables,6.21,Chinese Cabbage (Bag),9.43,Wednesday
32800,102900011034224,2.665853658536585,Xiaoqingcai (Bag),1011010101,Flower/Leaf Vegetables,2.07,Xiaoqingcai (Bag),9.43,Wednesday
32801,102900011034231,3.7,Cabbage Stem (Bag),1011010101,Flower/Leaf Vegetables,3.55,Cabbage Stem (Bag),9.43,Wednesday
32802,102900011034330,3.852380952380953,Agaricus Bisporus (Box),1011010801,Edible Mushroom,2.34,Agaricus Bisporus (Box),0.2,Wednesday
32803,102900011034439,3.5818181818181816,Green And Red Hang Pepper Mix (Bag),1011010504,Capsicum,2.47,Green And Red Hang Pepper Mix (Bag),9.43,Wednesday
32804,102900051010455,6.0,Huangbaicai (2),1011010101,Flower/Leaf Vegetables,3.39,Huangbaicai (2),15.61,Wednesday
32805,106949711300259,2.18,Needle Mushroom (Box),1011010801,Edible Mushroom,2.07,Needle Mushroom (Box),0.45,Wednesday
32795,102900011033920,9.2,Huangxincai (2),1011010101,Flower/Leaf Vegetables,4.49,Huangxincai (2),9.43,Wednesday
32781,102900011031100,4.693103448275863,Millet Pepper (Bag),1011010504,Capsicum,1.16,Millet Pepper (Bag),9.43,Wednesday
32785,102900011032206,2.6,Green Hang Pepper (Bag),1011010504,Capsicum,1.53,Green Hang Pepper (Bag),9.43,Wednesday
32779,102900011030912,5.900000000000001,Haixian Mushroom (Bag),1011010801,Edible Mushroom,2.7,Haixian Mushroom (Bag),9.43,Wednesday
32757,102900005115762,3.2,Amaranth,1011010101,Flower/Leaf Vegetables,2.08,Amaranth,18.52,Wednesday
32758,102900005115823,8.0,Shanghaiqing,1010101,Flower/Leaf Vegetables,3.97,Shanghaiqing,14.43,Wednesday
32759,102900005115946,6.0,Muercai,1011010101,Flower/Leaf Vegetables,,Muercai,7.61,Wednesday
32760,102900005116257,-7.0,Eggplant (2),1011010501,Solanum,4.34,Eggplant (2),6.07,Wednesday
32761,102900005116509,6.0,Green Eggplant (1),1011010501,Solanum,4.0,Green Eggplant (1),5.01,Wednesday
32762,102900005116530,23.6,Xixia Mushroom (1),1011010801,Edible Mushroom,15.0,Xixia Mushroom (1),13.82,Wednesday
32764,102900005116899,8.0,Net Lotus Root (1),1011010402,Aquatic Tuberous Vegetables,5.97,Net Lotus Root (1),5.54,Wednesday
32765,102900005118817,-12.0,Spinach,1011010101,Flower/Leaf Vegetables,7.49,Spinach,18.51,Wednesday
32766,102900005118824,18.0,High Melon (1),1011010402,Aquatic Tuberous Vegetables,16.27,High Melon (1),29.25,Wednesday
32767,102900011000328,8.0,Luosi Pepper,1010504,Capsicum,5.2,Luosi Pepper,10.18,Wednesday
32768,102900011001561,2.0,Lotus (Ea),1011010402,Aquatic Tuberous Vegetables,1.33,Lotus (Ea),12.17,Wednesday
32763,102900005116714,7.0,Broccoli,1011010201,Cabbage,5.29,Broccoli,9.26,Wednesday
32770,102900011008522,8.0,Sweet Chinese Cabbage,1011010101,Flower/Leaf Vegetables,5.46,Sweet Chinese Cabbage,9.43,Wednesday
32769,102900011001691,10.0,Water Chestnut (Lingjiao),1011010402,Aquatic Tuberous Vegetables,,Water Chestnut (Lingjiao),9.61,Wednesday
32777,102900011030134,3.2,Caixin (Bag),1011010101,Flower/Leaf Vegetables,2.0,Caixin (Bag),9.43,Wednesday
32780,102900011030929,-2.0,Fresh Edible Fungus (Bag),1011010801,Edible Mushroom,1.54,Fresh Edible Fungus (Bag),9.43,Wednesday
32776,102900011030110,4.3,Spinach (Bag),1011010101,Flower/Leaf Vegetables,2.27,Spinach (Bag),9.43,Wednesday
32775,102900011030097,3.2818181818181817,Yunnan Leaf Lettuce (Bag),1011010101,Flower/Leaf Vegetables,1.79,Yunnan Leaf Lettuce (Bag),9.43,Wednesday
32778,102900011030141,2.962068965517241,Shanghai Green (Bag),1011010101,Flower/Leaf Vegetables,1.35,Shanghai Green (Bag),9.43,Wednesday
32773,102900011022764,10.0,Changxianqie,1011010501,Solanum,6.78,Changxianqie,6.9,Wednesday
32772,102900011016701,5.0,Wuhu Green Pepper (1),1011010504,Capsicum,3.6,Wuhu Green Pepper (1),5.7,Wednesday
32771,102900011013274,5.9,The White Mushroom (Bag),1011010801,Edible Mushroom,4.1,The White Mushroom (Bag),6.57,Wednesday
32774,102900011030059,3.9,Yunnan Lettuce (Bag),1011010101,Flower/Leaf Vegetables,1.78,Yunnan Lettuce (Bag),9.43,Wednesday
32843,102900011033906,3.0,Powcan Mountain Chinese Cabbage ,1011010101,Flower/Leaf Vegetables,1.56,Powcan Mountain Chinese Cabbage ,9.43,Thursday
32834,102900011032206,2.5,Green Hang Pepper (Bag),1011010504,Capsicum,0.96,Green Hang Pepper (Bag),9.43,Thursday
32835,102900011032213,3.7222222222222223,Red Hang Pepper (Bag),1011010504,Capsicum,3.26,Red Hang Pepper (Bag),9.43,Thursday
32836,102900011032237,3.9,Green Line Pepper (Bag),1010504,Capsicum,1.7,Green Line Pepper (Bag),9.43,Thursday
32837,102900011032251,3.5,Luosi Pepper (Bag),1011010504,Capsicum,2.03,Luosi Pepper (Bag),9.43,Thursday
32838,102900011032343,25.8,7 Colour Pepper (2),1011010504,Capsicum,9.74,7 Colour Pepper (2),9.43,Thursday
32839,102900011032367,19.8,Red Bell Pepper (2),1010504,Capsicum,,Red Bell Pepper (2),9.43,Thursday
32840,102900011032787,-1.58,Zhuyecai (Bag),1011010101,Flower/Leaf Vegetables,0.93,Zhuyecai (Bag),9.43,Thursday
32841,102900011032848,3.6714285714285713,Ginger And Xiaomijiao Mix (Small Bag),1011010504,Capsicum,1.11,Ginger And Xiaomijiao Mix (Small Bag),9.43,Thursday
32842,102900011033234,-1.789655172413793,Hongshujian (Bag),1011010101,Flower/Leaf Vegetables,0.78,Hongshujian (Bag),9.43,Thursday
32844,102900011033920,9.2,Huangxincai (2),1011010101,Flower/Leaf Vegetables,3.94,Huangxincai (2),9.43,Thursday
32856,102900051010455,6.0,Huangbaicai (2),1011010101,Flower/Leaf Vegetables,,Huangbaicai (2),15.61,Thursday
32846,102900011033944,11.0,Apricot Bao Mushroom (2),1011010801,Edible Mushroom,,Apricot Bao Mushroom (2),9.43,Thursday
32847,102900011033975,6.0,Green Eggplant (2),1011010501,Solanum,3.81,Green Eggplant (2),9.43,Thursday
32848,102900011034026,9.238095238095235,Zhijiang Qinggengsanhua,1011010201,Cabbage,4.99,Zhijiang Qinggengsanhua,9.43,Thursday
32849,102900011034200,2.9,Amaranth (Bag),1010101,Flower/Leaf Vegetables,1.44,Amaranth (Bag),9.43,Thursday
32850,102900011034217,7.1000000000000005,Chinese Cabbage (Bag),1011010101,Flower/Leaf Vegetables,6.43,Chinese Cabbage (Bag),9.43,Thursday
32851,102900011034224,2.5842105263157897,Xiaoqingcai (Bag),1011010101,Flower/Leaf Vegetables,2.01,Xiaoqingcai (Bag),9.43,Thursday
32852,102900011034231,-3.760869565217391,Cabbage Stem (Bag),1010101,Flower/Leaf Vegetables,4.34,Cabbage Stem (Bag),9.43,Thursday
